Price List,,,,,,,,,
,,,,,,,,,
Business Cards, 2x3.5 Qty,,Cost (1sided),,Cost (2sided),,Reorders w/no changes $15.00 less,,
,Design Service,,,,$125.00,,,,
,,,,,,,,,
Menus (2 sided),8.5x11,,,,Cost,,,,
Stock Options-80lb Gloss Text,25,,,,$52.00,,,,
,50,,,,$74.00,,,,
,75,,,,$73.50,,,,
,100,,,,$90.00,,,,
,150,,,,$156.00,,,,
,200,,,,$188.00,,,,
,250,,,,$214.00,,,,
,500,,,,$230.00,,,,
,1000,,,,$258.40,,,,
,2500,,,,$380.00,,,,
,5000,,,,$459.00,,,,
,Design Service,,,,$150.00,,,,
,,,,,,,,,
Menus (2 sided),8.5x14,,,,,,,,
Stock Options-80lb Gloss Text,500,,,,$330.00,,,,
,1000,,,,$421.50,,,,
,2500,,,,$616.50,,,,
,5000,,,,$925.50,,,,
,Design Service,,,,$150.00,,,,
,,,,,,,,,
Menus (2 sided),11x17,,,,,,,,
Stock Options-80lb Gloss Text,25,,,,$86.00,,,,
,50,,,,$124.00,,,,
,75,,,,$162.00,,,,
,100,,,,$198.00,,,,
,150,,,,$276.00,,,,
,200,,,,$352.00,,,,
,250,,,,$428.00,,,,
,500,,,,$512.00,,,,
,1000,,,,$554.80,,,,
,2500,,,,$828.40,,,,
,5000,,,,"$1,335.70",,,,
,Design Service,,,,$150.00,,,,
,,,,,,,,,
Obituaries- 4pages,8.5x11  folds to 5.5 x 8.5,,,,Print Ready,Design+ Setup Included,Full Bleed Option,69,
Stock Options- 100lb Gloss Text ,50,,,,$130.00,$199.00,$30.00,,
"Desciption- Bi-Fold ,Full Color, Folded,",100,,,,$189.00,$260.00,$50.00,,
"Stapled, Includes up to 6 Photos",150,,,,$255.49,$324.00,$50.00,,
,200,,,,$315.50,$384.50,$65.00,,
,250,,,,$367.50,$436.50,$65.00,,
,300,,,,$445.00,$514.00,$70.00,,
,350,,,,$515.00,$584.00,$70.00,,
,Paginate Fee,,,,$25.00,$0.00,$0.00,,
,Type Set Fee,,,,,$45.00,,`,
,,,,,,,,,
Obituaries-4pages,8.5x14  folds to 8.5 x8.7,,,,Print Ready,Design +Setup Included,Full Bleed Option,69,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$168.00,$237.00,$30.00,,
"Description-Bi-Fold, Full Color, Folded,",100,,,,$229.00,$298.00,$50.00,,
"Stapled, Includes up to 10 Photos",150,,,,$299.00,$368.00,$50.00,,
,200,,,,$342.50,$411.50,$65.00,,
,250,,,,$387.50,$456.50,$65.00,,
,300,,,,$432.50,$501.50,$70.00,,
,350,,,,$477.50,$546.50,$70.00,,
,Paginate Fee,,,,$20.00,$0.00,$0.00,,
,Type Set Fee,,,,,$45.00,,,
,,,,,,,,,
Obituaries-4pages,11x17 folds to 8.5x 11,,,,Print Ready,Design + Setup Included,Full Bleed Option,80,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$227.00,$307.00,$60.00,,
"Description-Bi-Fold, Full Color, Folded,",100,,,,$335.00,$415.00,$70.00,,
"Stapled, Includes up to 20 Photos",150,,,,$440.00,$520.00,$70.00,,
,200,,,,$562.00,$642.00,$80.00,,
,250,,,,$695.00,$775.00,$80.00,,
,300,,,,$749.00,$829.00,$90.00,,
,350,,,,$902.00,$992.00,$90.00,,
,Paginate Fee,,,,$20.00,$0.00,$0.00,,
,Type Set Fee,,,,,$45.00,,,
,,,,,,,,,
Obituaries-8pages,8.5x11 folds to 5.5x 8.5,,,,Print Ready,Design +Setup Included,Full Bleed Option,132,132
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$298.00,$432.00,$40.00,,
"Description-Bi-Fold, Full Color, Folded,",100,,,,$358.00,$490.00,$60.00,,
"Stapled, Includes up to 12 Photos",150,,,,$425.00,$557.00,$60.00,,
,200,,,,$565.00,$697.00,$70.00,,
,250,,,,$677.00,$809.00,$75.00,,
,300,,,,$769.00,$901.00,$80.00,,
,350,,,,$865.00,$997.00,$80.00,,
,Paginate Fee,,,,$35.00,$0.00,$0.00,,
,Type Set Fee,,,,,$90.00,,,
,,,,,,,,,
Obituaries-8pages,8.5x14 folds to 8.5x7,,,,Print Ready,Design + Setup Included,Full Bleed Option,132,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$337.00,$469.00,$40.00,,
"Description-Bi-Fold, Full Color, Folded,",100,,,,$460.00,$592.00,$60.00,,
"Stapled, Includes up to 20 Photos",150,,,,$541.00,$673.00,$60.00,,
,200,,,,$635.00,$767.00,$70.00,,
,250,,,,$725.00,$857.00,$75.00,,
,300,,,,$805.00,$937.00,$80.00,,
,350,,,,$880.00,"$1,012.00",$80.00,,
,Paginate Fee,,,,$35.00,$0.00,$0.00,,
,Type Set Fee,,,,,$90.00,,,
,,,,,,,,,
,,,,,,,,,
Obituaries-8pages,11x17 folds to 8.5x11,,,,Print Ready,Design + Setup  Included,Full Bleed Option,142,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$487.00,$629.00,$80.00,,
"Description-Bi-Fold, Full Color, Folded,",100,,,,$567.00,$709.00,$100.00,,
"Stapled, Includes up to 40 Photos",150,,,,$646.00,$788.00,$100.00,,
,200,,,,$749.00,$891.00,$110.00,"$1,395.00","$2,092.50"
,250,,,,$838.00,$980.00,$110.00,$697.50,"$2,092.50"
,300,,,,$995.00,"$1,137.00",$125.00,,
,350,,,,"$1,112.00","$1,254.00",$125.00,,
,Paginate Fee,,,,$35.00,$0.00,$0.00,,
,Type Set Fee,,,,,$90.00,,,
,,,,,,,,,
,,,,,,,,,
Obituaries -6page TRI-FOLD,8.5x14 (Has 6 Panels),,,,Print Ready,Design + Setup Included,Full Bleed Option,110,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$179.00,$289.00,$30.00,,
"Description-Tri-Fold, Full Color, Folded,",100,,,,$377.00,$488.00,$30.00,,
"Stapled, Includes up to 25 Photos",150,,,,$475.00,$585.00,$35.00,,
,200,,,,$525.00,$635.00,$35.00,,
,250,,,,$669.00,$779.00,$40.00,,
,300,,,,$785.00,$895.00,$50.00,,
,350,,,,$819.00,$929.00,$55.00,,
,Paginate Fee,,,,$25.00,$0.00,$0.00,,
,Type Set Fee,,,,,$55.00,,,
,,,,,,,,,
Obituaries -6page TRI-FOLD,11x17 ( Has 6 Panels),,,,Print Ready,Design + Setup Included,Full Bleed Option,110,
Stock Options-100lb Gloss Text or Matte Finish,50,,,,$250.00,$360.00,$30.00,,
"Description-Tri-Fold, Full Color, Folded,",100,,,,$417.00,$527.00,$30.00,,
"Stapled, Includes up to 30 Photos",150,,,,$535.00,$645.00,$35.00,,
,200,,,,$655.00,$765.00,$35.00,,
,250,,,,$732.00,$842.00,$40.00,,
,300,,,,$815.00,$925.00,$50.00,,
,350,,,,$999.00,"$1,109.00",$55.00,,
,Paginate Fee,,,,$25.00,$0.00,$0.00,,
,Type Set Fee,,,,,$55.00,,,
,,,,,,,,,
Invoices,5.5x8.5,2-Part (No Numbers),,3-Part (No Numbers),,2-Part (With Numbers),,3-Part (With Numbers),
Stock: Carbon,25,$52.92,,$107.95,,$54.42,,$109.45,
*Frank Towing $79 qty 50 Color,50,$74.52,,$118.75,,$77.52,,$121.75,
,100,$97.15,,$151.15,,$103.15,,$157.15,
,200,$140.35,,$183.55,,$152.35,,$195.55,
,400,$169.95,,$242.95,,$193.95,,$266.95,
,500,$205.15,,$264.55,,$235.15,,$294.55,
,"1,000",$269.95,,$345.55,,$329.95,,$405.55,
,Design Service,$49.00,,$49.00,,$49.00,,$49.00,
,,,,,,,,,
Invoices,8.5x11,2-Part (No Numbers),,3-Part (No Numbers),,2-Part (With Numbers),,3-Part (With Numbers),
Stock:Carbon,100,$160.92,,$201.15,,$172.92,,$213.15,
,200,$243.00,,$303.75,,$267.00,,$327.75,
,400,$279.72,,$349.65,,$327.72,,$397.65,
,500,$301.32,,$376.65,,$361.32,,$436.65,
,1000,$534.60,,$668.25,,$654.60,,$788.25,
,Design Service,$49.00,,$49.00,,$49.00,,$49.00,
,1 mill tow 5 booklets half size price (191.00) full size (219.00),,,,,,,,
,,,,,,,,,
Magnetic Vehicle Signs ,12x24 ,$129.00,,,,,,,
,18x24,$169.00,,,,,,,
,,,,,,,,,
Self Inking Stamps,Small,Large ,,,,,,,
,$49.95,$59.95,,,,,,,
,,,,,,,,,
,Retracable Banner 36x80 (Kit included),$299.00,,,,,,,
Banners ,Retracable Banner 33x80 (Kit included),$269.00,,,,,,,
,Cross-Bow Banner 23.5x62,$129.00,,Vendor cost ,$63.00,,,,
,Cross-Bow Banner 79x30,$189.00,,Vendor cost ,$84.00,,,,
,Standard 8x8 Step/Repeat Banner ,$249.00,,,,,,,
,Standard 8x8 Step/Repeat Banner with Pole Pocket ,$269.00,,,,,,,
,72x36 Banner ,$125.00,,,,,,,
,LED LIGHT BOX (double -sided graphics),$825.00,,,,,,,
-,,,,,,,,,
,,,,,,,,,
